,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,Damaturu,11.747,11.9608,66.31,26,0,8.57,NG,1612056386
304,Rudnaya Pristan',44.3614,135.8116,1.98,81,0,12.71,RU,1612056386
305,Grand-Santi,4.25,-54.3833,73.89,97,97,3.11,GF,1612056386
306,Buraidah,26.326,43.975,50.0,66,0,5.75,SA,1612055613
307,Shubarkuduk,49.1447,56.4872,15.42,94,0,9.37,KZ,1612055994
308,Nizhniy Tsasuchey,50.5167,115.1333,-16.04,86,100,7.23,RU,1612056230
309,Ostrovnoy,68.0531,39.5131,14.54,95,100,7.47,RU,1612055804
310,Yulara,-25.2406,130.9889,89.6,20,40,17.27,AU,1612055788
311,Myaundzha,63.0494,147.1858,-23.49,79,100,4.18,RU,1612056386
312,Aripuanã,-9.1667,-60.6333,73.89,98,100,1.63,BR,1612055819
313,Fortuna,40.5982,-124.1573,53.01,87,90,21.85,US,1612055561
314,Placerville,38.7296,-120.7986,51.01,70,1,4.61,US,1612056387
315,Hambantota,6.1241,81.1185,75.2,100,20,9.22,LK,1612055812
316,Port Hardy,50.6996,-127.4199,46.4,76,90,19.57,CA,1612055802
317,Rocha,-34.4833,-54.3333,65.75,91,100,18.12,UY,1612055863
318,Camacha,33.0833,-16.3333,57.2,94,20,2.3,PT,1612056202
319,Épinal,48.1833,6.45,44.6,93,90,5.75,FR,1612056387
320,Iracoubo,5.4802,-53.2011,78.13,86,100,15.61,GF,1612056294
321,Maceió,-9.6658,-35.7353,75.2,94,75,2.3,BR,1612055631
322,Ucluelet,48.9329,-125.5528,45.0,93,90,18.41,CA,1612056335
323,Linda,39.1277,-121.5508,55.99,62,90,4.61,US,1612056387
324,Kigali,-1.95,30.0588,64.4,88,20,4.61,RW,1612056387
325,Mehrān,33.1222,46.1646,48.16,54,0,2.73,IR,1612056387
326,Kiryat Gat,31.61,34.7642,55.0,58,0,10.96,IL,1612056058
327,Tres Palos,18.1833,-101.6167,72.86,76,57,3.87,MX,1612056388
328,Richards Bay,-28.783,32.0377,73.69,95,88,4.23,ZA,1612055845
329,Khatanga,71.9667,102.5,-47.02,78,40,0.72,RU,1612055716
330,Shubarshi,48.5872,57.1869,14.23,93,0,7.61,KZ,1612056388
331,Acajutla,13.5928,-89.8275,80.6,54,20,5.79,SV,1612056156
332,Boende,-0.2167,20.8667,70.48,96,100,2.35,CD,1612056388
333,Ust-Nera,64.5667,143.2,-25.51,76,92,7.78,RU,1612056065
334,Lagoa,39.05,-27.9833,61.9,94,100,25.64,PT,1612055599
335,Hithadhoo,-0.6,73.0833,81.68,79,24,14.23,MV,1612056191
336,Khilchipur,24.0333,76.5667,50.67,42,0,3.87,IN,1612056389
337,Ilebo,-4.3167,20.5833,70.72,96,100,1.36,CD,1612056389
338,Cidreira,-30.1811,-50.2056,75.67,91,92,8.34,BR,1612055553
339,Ormara,25.2088,64.6357,67.84,69,0,11.05,PK,1612056390
340,Kieta,-6.2167,155.6333,84.02,72,100,16.44,PG,1612056095
341,Avera,33.194,-82.5271,46.4,49,40,5.75,US,1612056008
342,Naze,28.3667,129.4833,62.6,55,75,9.22,JP,1612056229
343,Broken Hill,-31.95,141.4333,80.6,32,48,14.97,AU,1612055802
344,Beïnamar,8.6698,15.3813,71.33,22,0,3.94,TD,1612056390
345,Port Hedland,-20.3167,118.5667,87.8,58,90,10.36,AU,1612055999
346,Altamira,-3.2033,-52.2064,72.93,97,37,2.89,BR,1612056102
347,Srīvardhan,18.0333,73.0167,73.04,45,0,5.48,IN,1612056390
348,Tandil,-37.3217,-59.1332,59.0,62,100,7.0,AR,1612056313
349,Brzeziny,51.8002,19.7514,24.01,80,75,5.75,PL,1612056390
350,Basna,21.2833,82.8167,50.38,39,0,2.77,IN,1612056390
